a,w,a_change,w_change
11,1,0.78927032,3.5977510130000003
11,2,1.349062076666667,1.3471870026666668
11,3,-1.8211686670000002,3.7091095739999997
11,4,0.5152578199999995,2.94240167175
11,5,-0.4811383803333342,2.04139312
11,6,1.8819812099999993,2.4829142245000004
11,7,0.16080215199999928,2.3681017893333336
11,8,0.4154046057999999,2.6226756074000006
11,9,2.6238160528571433,3.3005100119999997
11,10,4.01158342,2.4204581875
11,11,2.802134212,2.297562722
11,12,2.4866680702000004,1.7871982600000003
11,13,1.5667542062500002,2.5026767712499995
11,14,1.4114620777777778,3.0615536877777783
11,15,1.9452222681818183,1.9921691536363637
11,16,1.981571975882353,3.23357789117647
11,17,1.6081860423999998,3.5720509752000003
11,18,0.8072997122142859,1.8590570450000001
11,19,1.4031192053846153,2.5126857130769236
11,20,0.9767837688461539,2.5960552238461547
11,21,1.3521294773913044,3.0097781617391304
11,22,1.049803527888889,3.025641236666666
11,23,1.2532456061290322,3.469403185483871
11,24,1.6018479602777778,3.776762920555555
11,25,1.1516931171612905,3.5261083812903222
11,26,0.7049547235142857,3.5137936931428575
11,27,1.2436045518793102,3.733915517931034
11,28,-0.06361232077777777,3.826232104166666
11,29,-0.09730404296296308,3.2518999922222225
11,30,-1.0415771055833332,3.8100119424999987
12,-4,2.32578528,3.3686748939999998
12,0,3.1871314833333337,1.7583750580000006
12,1,6.550410159999998,-4.316077409
12,2,4.3750637900000005,-2.7198330135000006
12,3,4.135786685000001,-2.669178447
12,4,3.0953601200000005,4.192164601
12,5,2.9794290100000005,2.000858987
12,6,-2.3688346339999997,3.918132605
12,7,0.8453369050000008,1.194273898
12,8,2.73188262275,3.0776640506250006
12,9,2.303816993,2.6455170942499997
12,10,2.9702635522222223,2.628870918888889
12,11,1.9123294557142858,2.3075555585714285
12,12,1.6598606999999996,2.021446821666667
12,13,1.4337154783333335,3.42815544
12,14,1.4477080805555553,2.711750277222222
12,15,1.2740083906666666,3.259132709999999
12,16,1.2521955423333333,3.4909356899999997
12,17,1.1091532535714284,3.1600244671428577
12,18,1.0776243571666666,3.2187770243333333
12,19,1.0070850316666669,2.745102365
12,20,1.4187631375,2.5475529465625
12,21,1.2907663382,2.9260055530000004
12,22,1.506703384448276,2.5491453310344823
